Project Code,Project Name,Country
E-PAK-3744,ARY Laguna DHA City,Pakistan - PAK
E-PAK-4052,ARY Laguna Gujranwala,Pakistan - PAK
E-MEX-1621,AVA Resort Cancún,Mexico - MEX
E-ARG-1552,Acquavista,Argentina - ARG
E-USA-3922,Adelon Capital Master Agreement: Orlando,United States - USA
E-USA-4083,Adelon RMA: Brevard & East Coast FL,United States - USA
E-OMN-1560,Al Nakheel Lagoon,Oman - OMN
E-ESP-1568,Alcazaba Lagoon,Spain - ESP
E-ESP-3313,Alovera Beach,Spain - ESP
E-CHL-1627,Alto Ritoque,Chile - CHL
E-NGA-4218,Amila Resort,Nigeria - NGA
E-USA-3439,Angeline,United States - USA
E-USA-1609,Aqua,United States - USA
E-ARG-4194,Aqua Beach,Argentina - ARG
E-PRY-1878,Aqua Terra,Paraguay - PRY
E-PRY-1773,Aqua Village,Paraguay - PRY
E-UKR-3861,Arabatka Club,Ukraine - UKR
E-EGY-1807,Azha - Ain Sokhna,Egypt - EGY
E-COL-3584,Baia Kristal,Colombia - COL
E-USA-3175,Balmoral,United States - USA
E-USA-1755,Bayside,United States - USA
E-USA-1756,Beachwalk,United States - USA
E-CRI-4228,Bejuco,Costa Rica - CRI
E-PRY-1530,Blue Lagoon Amambay,Paraguay - PRY
E-THA-3197,Blue Tree,Thailand - THA
E-EGY-1760,Bo Islands,Egypt - EGY
E-BRA-1551,Brasil Beach Cuiabá,Brazil - BRA
E-USA-1607,Brightwater,United States - USA
E-GTM-3537,Brisas del Sur,Guatemala - GTM
E-COL-3599,Calacarta Resort,Colombia - COL
E-USA-3890,Carolando Kissimmee,United States - USA
E-ECU-1577,Casa del Sol,Ecuador - ECU
E-ROU-3617,Central District Lagoon City,Romania - ROU
E-EGY-1741,Citystars Al Sahel,Egypt - EGY
E-EGY-4020,Citystars Al Sahel (Lagoons Phase 1 & 2),Egypt - EGY
E-URY-3137,Colinas de Carrasco,Uruguay - URY
E-ARG-1564,Cordoba 2,Argentina - ARG
E-CHL-1505,Costa Laguna,Chile - CHL
E-PRY-1623,Costa del Lago,Paraguay - PRY
E-USA-2615,Cotino,United States - USA
E-ARE-4175,Damac Lagoons,United Arab Emirates - ARE
E-JOR-1507,Dead Sea Lagoon,Jordan - JOR
E-USA-4041,Desert Waterways Resort and Spa,United States - USA
E-ARG-3871,Developer Aqua,Argentina - ARG
E-MEX-1814,Diamante Cabo San Lucas,Mexico - MEX
E-MEX-1516,Dream Lagoons Cancún,Mexico - MEX
E-MEX-1519,Dream Lagoons Foresta,Mexico - MEX
E-MEX-1520,Dream Lagoons Rialta,Mexico - MEX
E-MEX-1517,Dream Lagoons Veracruz,Mexico - MEX
E-USA-3763,EPIC PAL National Agreement,United States - USA
E-EGY-3481,El Masyaf,Egypt - EGY
E-USA-3406,Emerald Lakes,United States - USA
E-USA-1576,Epperson,United States - USA
E-USA-3157,Evermore Orlando Resort,United States - USA
E-PER-1572,Flamencos Condominio,Peru - PER
E-EGY-2149,Fouka Bay,Egypt - EGY
E-USA-3442,Fry Road Lagoon,United States - USA
E-ARG-3874,General Lagos,Argentina - ARG
